ID,Title,Year_of_release,Target_Age,IMDb_rating,Rotten_tomatoes_rating,Netflix,Prime_Video,Disney,Runtime_in_mins,Genre_Crime,Genre_Drama,Genre_Romance,Genre_Action,Genre_Comedy,Genre_Adventure,Genre_Sci_Fi,Genre_Thriller,Genre_Animation,Language_Hindi,Language_English,Language_Other
1,The Irishman,2019,18+,7.8,98,1,0,0,209,1,1,0,0,0,0,0,0,0,0,1,1
2,Dangal,2016,7+,8.4,97,1,0,0,161,0,1,0,1,0,0,0,0,0,1,1,0
3,David Attenborough: A Life on Our Planet,2020,7+,9,95,1,0,0,83,0,0,0,0,0,0,0,0,0,0,1,0
4,Lagaan: Once Upon a Time in India,2001,7+,8.1,94,1,0,0,224,0,1,0,0,0,0,0,0,0,1,1,0
5,Roma,2018,18+,7.7,94,1,0,0,52,0,1,1,1,0,0,0,0,0,0,1,0
6,To All the Boys I've Loved Before,2018,13+,7.1,94,1,0,0,99,0,1,1,0,1,0,0,0,0,0,1,0
7,The Social Dilemma,2020,13+,7.6,93,1,0,0,94,0,1,0,0,0,0,0,0,0,0,1,0
8,Okja,2017,13+,7.3,92,1,0,0,120,0,1,0,1,0,1,1,0,0,0,1,1
9,The Ballad of Buster Scruggs,2018,16+,7.3,92,1,0,0,133,0,1,1,0,1,0,0,0,0,0,1,1
10,The Trial of the Chicago 7,2020,18+,7.8,92,1,0,0,129,0,1,0,0,0,0,0,1,0,0,1,1
11,Article 15,2019,18+,8.2,92,1,0,0,130,1,1,0,0,0,0,0,1,0,1,0,0
12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,7.7,92,1,0,0,94,0,0,0,0,0,0,0,0,0,0,1,1
13,Dolemite Is My Name,2019,18+,7.3,92,1,0,0,118,0,1,0,0,1,0,0,0,0,0,1,0
14,Mudbound,2017,18+,7.4,91,1,0,0,134,0,1,0,0,0,0,0,0,0,0,1,0
15,Swades,2004,all,8.2,91,1,0,0,210,0,1,0,0,0,0,0,0,0,1,1,0
16,Fyre,2019,18+,7.2,91,1,0,0,97,1,0,0,0,0,0,0,0,0,0,1,0
17,Miss Americana,2020,18+,7.4,90,1,0,0,85,0,0,0,0,0,0,0,0,0,0,1,0
18,Virunga,2014,16+,8.2,90,1,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1
19,Black Friday,2004,18+,8.5,90,1,0,0,143,1,1,0,1,0,0,0,0,0,1,1,0
20,Talvar,2015,7+,8.2,90,1,0,0,132,1,1,0,0,0,0,0,1,0,1,0,0
21,The King,2019,18+,7.2,90,1,0,0,140,0,1,1,0,0,0,0,0,0,0,1,1
22,John Mulaney: Kid Gorgeous at Radio City,2018,18+,8,89,1,0,0,65,0,0,0,0,1,0,0,0,0,0,1,0
23,I Am Mother,2019,13+,6.7,89,1,0,0,113,0,1,0,0,0,0,1,1,0,0,1,0
24,Tell Me Who I Am,2019,18+,7.6,89,1,0,0,95,0,1,0,0,0,0,0,1,0,0,1,1
25,The Departed,2006,18+,8.5,89,1,0,0,151,1,1,0,0,0,0,0,1,0,0,1,1
26,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,8.4,89,1,0,0,102,0,0,0,0,0,0,0,0,0,0,1,1
27,Terminator 2: Judgment Day,1991,18+,8.5,89,1,0,0,137,0,0,0,1,0,0,1,0,0,0,1,1
28,I Lost My Body,2019,18+,7.6,89,1,0,0,81,0,1,1,0,0,0,0,0,1,0,0,1
29,Django Unchained,2012,18+,8.4,89,1,0,0,165,0,1,0,0,0,0,0,0,0,0,1,1
30,The Half of It,2020,13+,6.9,89,1,0,0,104,0,1,1,0,1,0,0,0,0,1,1,1
31,The Boy Who Harnessed the Wind,2019,7+,7.6,89,1,0,0,113,0,1,0,0,0,0,0,0,0,0,1,1
32,The Devil All the Time,2020,18+,7.1,89,1,0,0,138,1,1,0,0,0,0,0,1,0,0,1,0
33,The Fundamentals of Caring,2016,18+,7.3,89,1,0,0,97,0,1,0,0,1,0,0,0,0,0,1,0
34,Pieces of a Woman,2020,18+,7.1,88,1,0,0,126,0,1,0,0,0,0,0,0,0,0,1,0
35,Gerald's Game,2017,18+,6.5,88,1,0,0,103,0,1,0,0,0,0,0,1,0,0,1,0
36,On Body and Soul,2017,18+,7.6,88,1,0,0,116,0,1,1,0,0,0,0,0,0,0,0,1
37,Shutter Island,2010,18+,8.2,88,1,0,0,138,0,0,0,0,0,0,0,1,0,0,1,1
38,Always Be My Maybe,2019,13+,6.8,88,1,0,0,101,0,0,1,0,1,0,0,0,0,0,1,0
39,The Intouchables,2011,7+,8.5,88,1,0,0,112,0,1,0,0,1,0,0,0,0,0,1,1
40,Bill Burr: Paper Tiger,2019,18+,8.2,87,1,0,0,67,0,0,0,0,1,0,0,0,0,0,1,0
41,Special 26,2013,18+,8,87,1,0,0,144,1,1,0,0,0,0,0,1,0,1,0,0
42,Kiss the Ground,2020,18+,8.3,87,1,0,0,84,0,0,0,0,0,0,0,0,0,0,1,0
43,Crip Camp: A Disability Revolution,2020,18+,7.7,87,1,0,0,106,0,0,0,0,0,0,0,0,0,0,1,0
44,Extraction,2020,18+,6.7,87,1,0,0,116,0,0,0,1,0,0,0,1,0,1,1,1
45,No Direction Home: Bob Dylan,2005,all,8.5,87,1,0,0,359,0,0,0,0,0,0,0,0,0,0,1,0
46,Kabhi Khushi Kabhie Gham,2001,all,7.4,87,1,0,0,210,0,1,1,0,0,0,0,0,0,1,1,0
47,His House,2020,16+,6.5,87,1,0,0,93,0,1,0,0,0,0,0,1,0,0,1,1
48,Super Deluxe,2019,18+,8.4,87,1,0,0,176,1,1,0,0,1,0,0,1,0,0,0,1
49,The Guernsey Literary & Potato Peel Pie Society,2018,16+,7.4,87,1,0,0,124,0,1,1,0,0,0,0,0,0,0,1,1
50,A Secret Love,2020,18+,7.9,87,1,0,0,81,0,1,0,0,0,0,0,0,0,0,1,0
51,The Night Comes for Us,2018,18+,7,87,1,0,0,121,0,0,0,1,0,0,0,1,0,0,1,1
52,The Big Lebowski,1998,18+,8.1,87,1,0,0,117,1,0,0,0,1,0,0,0,0,0,1,1
53,Pad Man,2018,13+,7.9,87,1,0,0,140,0,1,0,0,1,0,0,0,0,1,0,0
54,American Factory,2019,13+,7.4,86,1,0,0,110,0,0,0,0,0,0,0,0,0,0,1,1
55,Bird Box,2018,18+,6.6,86,1,0,0,124,0,0,0,0,0,0,1,0,0,0,1,0
56,The Pianist,2002,18+,8.5,86,1,0,0,150,0,1,0,0,0,0,0,0,0,0,1,1
57,3 Idiots,2009,13+,8.4,86,1,0,0,170,0,1,0,0,1,0,0,0,0,1,1,0
58,The Distinguished Citizen,2016,18+,7.5,86,1,0,0,118,0,1,0,0,1,0,0,0,0,0,0,1
59,A Shaun the Sheep Movie: Farmageddon,2019,all,6.8,86,1,0,0,86,0,0,0,0,1,1,1,0,1,0,1,0
60,A Clockwork Orange,1971,18+,8.3,86,1,0,0,136,1,1,0,0,0,0,1,0,0,0,1,0
61,What Happened to Monday,2017,18+,6.9,86,1,0,0,123,1,0,0,1,0,0,1,1,0,0,1,0
62,Anthony Jeselnik: Thoughts and Prayers,2015,18+,7.8,86,1,0,0,59,0,0,0,0,1,0,0,0,0,0,1,0
63,The White Helmets,2016,16+,7.5,86,1,0,0,41,0,0,0,0,0,0,0,0,0,0,1,1
64,Invader ZIM: Enter the Florpus,2019,7+,7.5,86,1,0,0,71,0,0,0,1,1,1,1,0,1,0,1,1
65,Happy as Lazzaro,2018,13+,7.5,85,1,0,0,128,0,1,0,0,0,0,0,0,0,0,1,1
66,Chasing Coral,2017,18+,8.1,85,1,0,0,93,0,0,0,0,0,0,0,0,0,0,1,0
67,Kal Ho Naa Ho,2003,all,7.9,85,1,0,0,186,0,1,1,0,1,0,0,0,0,1,1,0
68,Pan's Labyrinth,2006,18+,8.2,85,1,0,0,118,0,1,0,0,0,0,0,0,0,0,0,1
69,Team Foxcatcher,2016,16+,7.3,85,1,0,0,90,1,0,0,0,0,0,0,0,0,0,1,0
70,The Meyerowitz Stories (New and Selected),2017,18+,6.9,85,1,0,0,112,0,1,0,0,1,0,0,0,0,0,1,0
71,Casino Royale,2006,13+,8,85,1,0,0,144,0,0,0,1,0,1,0,1,0,0,1,1
72,The Hateful Eight,2015,18+,7.8,85,1,0,0,168,1,1,0,0,0,0,0,1,0,0,1,1
73,Rush,2013,18+,8.1,84,1,0,0,123,0,1,0,1,0,0,0,0,0,0,1,1
74,Zombieland,2009,18+,7.6,84,1,0,0,88,0,0,0,0,1,1,1,0,0,0,1,1
75,Eurovision Song Contest: The Story of Fire Saga,2020,13+,6.5,84,1,0,0,123,0,0,0,0,1,0,0,0,0,0,1,1
76,Kapoor & Sons,2016,13+,7.7,84,1,0,0,132,0,1,1,0,1,0,0,0,0,1,0,0
77,The Perfection,2018,18+,6.2,84,1,0,0,90,0,1,0,0,0,0,0,1,0,0,1,1
78,Dave Chappelle: Sticks & Stones,2019,18+,8.5,84,1,0,0,65,0,0,0,0,1,0,0,0,0,0,1,0
79,There Will Be Blood,2007,18+,8.2,84,1,0,0,158,0,1,0,0,0,0,0,0,0,0,1,1
80,Million Dollar Baby,2004,13+,8.1,84,1,0,0,132,0,1,0,0,0,0,0,0,0,0,1,1
81,The Social Network,2010,13+,7.7,84,1,0,0,120,0,1,0,0,0,0,0,0,0,0,1,1
82,The Christmas Chronicles,2018,7+,7,84,1,0,0,104,0,0,0,0,1,1,0,0,0,0,1,1
83,Monty Python and the Holy Grail,1975,7+,8.2,84,1,0,0,91,0,0,0,0,1,1,0,0,0,0,1,1
84,The Pixar Story,2007,all,7.8,84,1,0,0,88,0,0,0,0,0,0,0,0,0,0,1,0
85,Ma Rainey's Black Bottom,2020,18+,7,84,1,0,0,94,0,1,0,0,0,0,0,0,0,0,1,0
86,Calibre,2018,18+,6.8,84,1,0,0,101,0,1,0,0,0,0,0,1,0,0,1,0
87,Silver Linings Playbook,2012,18+,7.7,84,1,0,0,122,0,1,1,0,1,0,0,0,0,0,1,0
88,Over the Moon,2020,7+,6.4,84,1,0,0,95,0,0,0,0,1,1,1,0,1,0,1,1
89,"What Happened, Miss Simone?",2015,18+,7.6,84,1,0,0,101,0,0,0,0,0,0,0,0,0,0,1,1
90,Nightcrawler,2014,18+,7.8,84,1,0,0,117,1,1,0,0,0,0,0,1,0,0,1,0
91,1922,2017,18+,6.3,84,1,0,0,102,1,1,0,0,0,0,0,1,0,0,1,0
92,Paddleton,2019,18+,7.2,84,1,0,0,89,0,1,0,0,1,0,0,0,0,0,1,0
93,Cargo,2017,18+,6.3,84,1,0,0,105,0,1,0,0,0,0,1,1,0,0,1,1
94,Rain Man,1988,18+,8,83,1,0,0,133,0,1,0,0,0,0,0,0,0,0,1,1
95,Cuba and the Cameraman,2017,18+,8.3,83,1,0,0,113,0,0,0,0,0,0,0,0,0,0,1,1
96,The Ritual,2017,18+,6.3,83,1,0,0,94,0,0,0,0,0,0,0,1,0,0,1,1
97,The Hater,2020,18+,7.1,83,1,0,0,135,0,1,0,0,0,0,0,1,0,0,1,1
98,The Edge of Democracy,2019,16+,7.2,83,1,0,0,121,0,0,0,0,0,0,0,0,0,0,1,1
99,Adam Sandler: 100% Fresh,2018,18+,7.6,83,1,0,0,73,0,0,0,0,1,0,0,0,0,0,1,0
100,Guru,2007,13+,7.7,83,1,0,0,114,0,1,0,0,1,0,0,0,0,0,1,0
101,A Twelve-Year Night,2018,18+,7.5,83,1,0,0,122,1,1,0,0,0,0,0,0,0,0,0,1
102,Dumplin',2018,13+,6.6,83,1,0,0,110,0,1,0,0,1,0,0,0,0,0,1,0
103,The Conjuring,2013,18+,7.5,83,1,0,0,112,0,0,0,0,0,0,0,1,0,0,1,1
104,Marriage Story,2019,18+,7.9,83,1,0,0,137,0,1,1,0,1,0,0,0,0,0,1,1
105,My Octopus Teacher,2020,all,8.1,83,1,0,0,85,0,0,0,0,0,0,0,0,0,0,1,0
106,About Time,2013,13+,7.8,83,1,0,0,123,0,1,1,0,1,0,1,0,0,0,1,0
107,Hey Arnold! The Jungle Movie,2017,7+,7.6,83,1,0,0,81,0,0,0,0,1,1,0,0,1,0,1,1
108,Kung Fu Panda,2008,7+,7.6,83,1,0,0,92,0,0,0,1,1,1,0,0,1,0,1,0
109,Superbad,2007,18+,7.6,83,1,0,0,113,0,0,0,0,1,0,0,0,0,0,1,0
110,The Invisible Guest,2016,18+,8.1,83,1,0,0,106,1,1,0,0,0,0,0,1,0,0,0,1
111,Chinatown,1974,18+,8.2,82,1,0,0,130,0,1,0,0,0,0,0,1,0,0,1,1
112,Mystic River,2003,18+,7.9,82,1,0,0,138,1,1,0,0,0,0,0,1,0,0,1,0
113,The Theory of Everything,2014,13+,7.7,82,1,0,0,123,0,1,1,0,0,0,0,0,0,0,1,1
114,Springsteen On Broadway,2018,18+,8.5,82,1,0,0,153,0,0,0,0,0,0,0,0,0,0,1,0
115,The Life Ahead,2020,13+,6.8,82,1,0,0,94,0,1,0,0,0,0,0,0,0,0,0,1
116,The Terminal,2004,13+,7.4,82,1,1,0,128,0,1,1,0,1,0,0,0,0,0,1,1
117,Scott Pilgrim vs. the World,2010,13+,7.5,82,1,0,0,112,0,0,1,1,1,0,0,0,0,0,1,0
118,Being Elmo: A Puppeteer's Journey,2011,7+,7.6,82,1,0,0,80,0,0,0,0,0,0,0,0,0,0,1,0
119,Life of Brian,1979,18+,8.1,82,1,0,0,94,0,0,0,0,1,0,0,0,0,0,1,1
120,The Resistance Banker,2018,18+,6.9,82,1,0,0,123,0,1,0,0,0,0,0,0,0,0,0,1
121,How to Train Your Dragon 2,2014,7+,7.8,82,1,0,0,102,0,0,0,1,0,1,0,0,1,0,1,0
122,The Endless Trench,2019,18+,7.2,82,1,0,0,147,0,1,0,1,0,0,0,1,0,0,0,1
123,Even the Rain,2010,18+,7.4,82,1,0,0,103,0,1,0,0,0,0,0,0,0,0,1,1
124,Love Actually,2003,18+,7.6,82,1,0,0,135,0,1,1,0,1,0,0,0,0,0,1,1
125,Dear Ex,2018,18+,7.4,82,1,0,0,100,0,1,1,0,1,0,0,0,0,0,0,1
126,Braven,2018,18+,5.9,82,1,0,0,94,0,0,0,1,0,0,0,1,0,0,1,0
127,Period. End of Sentence.,2018,18+,7.4,82,1,0,0,26,0,0,0,0,0,0,0,0,0,1,1,0
128,Captain Fantastic,2016,18+,7.9,82,1,0,0,118,0,1,0,0,1,0,0,0,0,0,1,1
129,Veronica,2017,18+,6.2,81,1,0,0,94,0,0,0,0,1,0,0,0,0,0,1,0
130,The Siege of Jadotville,2016,18+,7.2,81,1,0,0,108,0,1,0,1,0,0,0,1,0,0,1,1
131,Into the Inferno,2016,18+,7.2,81,1,0,0,104,0,0,0,0,0,0,0,0,0,0,1,0
132,Ricky Gervais: Humanity,2018,18+,8,81,1,0,0,79,0,0,0,0,1,0,0,0,0,0,1,0
133,A Whisker Away,2020,7+,6.7,81,1,0,0,104,0,0,1,0,0,1,0,0,1,0,0,1
134,Lady Bird,2017,18+,7.4,81,1,0,0,94,0,1,0,0,1,0,0,0,0,0,1,1
135,Road to Perdition,2002,18+,7.7,81,1,0,0,117,1,1,0,0,0,0,0,1,0,0,1,0
136,Boogie Nights,1997,18+,7.9,81,1,0,0,155,0,1,0,0,0,0,0,0,0,0,1,0
137,Total Recall,1990,16+,7.5,81,1,0,0,113,0,0,0,1,0,0,1,1,0,0,1,0
138,Bo Burnham: Inside,2021,18+,8.8,81,1,0,0,87,0,1,0,0,1,0,0,0,0,0,1,0
139,Snowpiercer,2013,18+,7.1,81,1,0,0,60,0,1,0,1,0,0,1,1,0,0,1,0
140,Circus of Books,2019,18+,7.1,81,1,0,0,92,0,0,0,0,0,0,0,0,0,0,1,0
141,Tallulah,2016,18+,6.7,81,1,0,0,111,0,1,1,0,1,0,0,0,0,0,1,0
142,The Conjuring 2,2016,18+,7.3,81,1,0,0,134,0,0,0,0,0,0,0,1,0,0,1,0
143,They'll Love Me When I'm Dead,2018,18+,7.4,81,1,0,0,98,0,0,0,0,0,0,0,0,0,0,1,0
144,Nocturnal Animals,2016,18+,7.5,81,1,0,0,116,0,1,0,0,0,0,0,1,0,0,1,0
145,Get Me Roger Stone,2017,16+,7.3,81,1,0,0,92,0,0,0,0,0,0,0,0,0,0,1,0
146,Hachi: A Dog's Tale,2009,all,8.1,81,1,0,0,93,0,1,0,0,0,0,0,0,0,0,1,1
147,Dances with Wolves,1990,13+,8,80,1,0,0,181,0,1,0,0,0,1,0,0,0,0,1,1
148,Udta Punjab,2016,18+,7.8,80,1,0,0,148,1,1,0,1,0,0,0,0,0,1,0,1
149,Bareilly's Barfi,2017,18+,7.5,80,1,0,0,116,0,0,1,0,1,0,0,0,0,1,0,0
150,Divines,2016,18+,7.4,80,1,0,0,105,1,1,0,0,0,0,0,0,0,0,0,1
151,Maktub,2017,7+,7.3,80,1,0,0,100,0,1,0,0,1,0,0,0,0,0,0,1
152,Ittefaq,2017,7+,7.2,80,1,0,0,105,1,0,0,0,0,0,0,1,0,1,0,0
153,Hannah Gadsby: Nanette,2018,18+,8.3,80,1,0,0,69,0,0,0,0,1,0,0,0,0,0,1,0
154,Ali Wong: Hard Knock Wife,2018,18+,7.4,80,1,0,0,64,0,0,0,0,1,0,0,0,0,0,1,0
155,Seven Pounds,2008,13+,7.6,80,1,1,0,123,0,1,0,0,0,0,0,0,0,0,1,1
156,Uncut Gems,2019,18+,7.4,80,1,0,0,135,1,1,0,0,0,0,0,1,0,0,1,1
157,The Kindergarten Teacher,2018,18+,6.7,80,1,0,0,96,0,1,0,0,0,0,0,1,0,0,1,0
158,Les Misérables,2012,13+,7.6,80,1,1,0,158,0,1,1,0,0,0,0,0,0,0,1,0
159,The Sky Is Pink,2019,18+,7.6,80,1,0,0,143,0,1,1,0,0,0,0,0,0,1,0,0
160,Next Gen,2018,7+,6.6,80,1,0,0,106,0,0,0,1,1,1,1,0,1,0,1,1
161,Tom Segura: Disgraceful,2018,13+,7.6,80,1,0,0,71,0,0,0,0,1,0,0,0,0,0,1,0
162,My Happy Family,2017,18+,7.4,80,1,0,0,120,0,1,0,0,0,0,0,0,0,0,0,1
163,The American Meme,2018,18+,6.6,80,1,0,0,98,0,0,0,0,0,0,0,0,0,0,1,0
164,Badla,2019,7+,7.8,80,1,0,0,118,1,1,0,0,0,0,0,1,0,1,0,0
165,Okko's Inn,2018,7+,7.1,80,1,0,0,94,0,1,0,0,0,1,0,0,1,0,1,1
166,The Willoughbys,2020,7+,6.4,80,1,0,0,90,0,0,0,0,1,1,0,0,1,0,1,0
167,Hunt for the Wilderpeople,2016,13+,7.9,80,1,0,0,101,0,1,0,0,1,1,0,0,0,0,1,0
168,Stardust,2007,13+,7.6,79,1,0,0,127,0,0,1,0,0,1,0,0,0,0,1,0
169,Wheelman,2017,18+,6.4,79,1,0,0,82,1,0,0,1,0,0,0,1,0,0,1,0
170,The Artist,2011,13+,7.9,79,1,0,0,100,0,1,1,0,1,0,0,0,0,0,1,1
171,On My Skin,2018,18+,7.3,79,1,0,0,100,0,1,0,0,0,0,0,0,0,0,0,1
172,Gaga: Five Foot Two,2017,18+,7,79,1,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0
173,Hugo,2011,7+,7.5,79,1,0,0,126,0,1,0,0,0,0,0,0,0,0,1,0
174,The Impossible,2012,13+,7.6,79,1,0,0,114,0,1,0,0,0,0,0,1,0,0,1,1
175,War Dogs,2016,18+,7.1,79,1,0,0,114,1,1,0,0,1,0,0,0,0,0,1,1
176,Ip Man,2008,18+,8,79,1,0,0,106,0,1,0,1,0,0,0,0,0,0,0,1
177,The Speed Cubers,2020,18+,7.4,79,1,0,0,39,0,0,0,0,0,0,0,0,0,0,1,0
178,Kung Fu Panda 2,2011,7+,7.2,79,1,0,0,90,0,0,0,1,1,1,0,0,1,0,1,0
179,The Dirt,2019,18+,7,79,1,0,0,107,0,1,0,0,1,0,0,0,0,0,1,0
180,Andhadhun,2018,18+,8.2,79,1,0,0,139,1,1,0,0,0,0,0,1,0,1,1,0
181,Atlantics,2019,13+,6.7,79,1,0,0,106,0,1,1,0,0,0,0,0,0,0,1,1
182,37 Seconds,2019,18+,7.3,79,1,0,0,115,0,1,0,0,0,0,0,0,0,0,0,1
183,El Camino: A Breaking Bad Movie,2019,18+,7.3,79,1,0,0,122,1,1,0,1,0,0,0,0,0,0,1,1
184,Underworld,2003,18+,7,79,1,1,0,121,0,0,0,1,0,0,0,1,0,0,1,0
185,The Ring,2002,13+,7.1,79,1,1,0,115,0,0,0,0,0,0,0,0,0,0,1,0
186,Hold the Dark,2018,18+,5.6,79,1,0,0,125,0,1,0,1,0,0,0,1,0,0,1,0
187,The Karate Kid,1984,7+,7.3,79,1,0,0,126,0,1,0,1,0,0,0,0,0,0,1,1
188,Quincy,2018,18+,7.6,79,1,0,0,60,1,1,0,0,0,0,0,1,0,0,1,0
189,The Patriot,2000,18+,7.2,79,1,0,0,165,0,1,0,1,0,0,0,0,0,0,1,1
190,Get In,2019,18+,5.6,79,1,0,0,97,0,1,0,0,0,0,0,1,0,0,0,1
191,ZZ Top: That Little Ol' Band From Texas,2019,18+,7.5,79,1,0,0,91,0,0,0,0,0,0,0,0,0,0,1,0
192,Jerry Before Seinfeld,2017,16+,7,79,1,0,0,62,0,0,0,0,1,0,0,0,0,0,1,0
193,Mike Birbiglia: The New One,2019,18+,7.7,78,1,0,0,85,0,0,0,0,1,0,0,0,0,0,1,0
194,A Silent Voice: The Movie,2016,13+,8.2,78,1,0,0,130,0,1,0,0,0,0,0,0,1,0,0,1
195,Klaus,2019,7+,8.2,78,1,0,0,96,0,0,0,0,1,1,0,0,1,0,1,1
196,Snowden,2016,18+,7.3,78,1,0,0,134,1,1,0,0,0,0,0,1,0,0,1,1
197,"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,18+,7.7,78,1,0,0,95,0,0,0,0,0,0,0,0,0,0,1,0
198,What's Eating Gilbert Grape,1993,13+,7.7,78,1,0,0,118,0,1,0,0,0,0,0,0,0,0,1,0
199,The Da Vinci Code,2006,13+,6.6,78,1,0,0,149,0,0,0,0,0,0,0,1,0,0,1,1
200,Stranger Than Fiction,2006,13+,7.5,78,1,0,0,113,0,1,1,0,1,0,0,0,0,0,1,0
201,Don 2,2011,18+,7.1,78,1,0,0,148,1,0,0,1,0,0,0,1,0,1,1,1
202,Elena,2013,18+,7.6,78,1,0,0,109,1,1,0,0,0,0,0,1,0,0,0,1
203,Real Steel,2011,13+,7,78,1,0,0,127,0,1,0,1,0,0,1,0,0,0,1,1
204,The Founder,2017,13+,7.2,78,1,0,0,115,0,1,0,0,0,0,0,0,0,0,1,1
205,Stargate,1994,13+,7.1,78,1,0,0,44,0,1,0,1,0,1,1,0,0,0,1,0
206,Shirkers,2018,18+,7.4,78,1,0,0,97,0,0,0,0,0,0,0,0,0,0,1,0
207,Chef,2014,18+,7.3,78,1,0,0,114,0,1,0,0,1,1,0,0,0,0,1,1
208,Fire in the Blood,2013,18+,7.7,78,1,0,0,87,0,0,0,0,0,0,0,0,0,1,1,1
209,Austin Powers: International Man of Mystery,1997,13+,7,78,1,0,0,94,0,0,0,0,1,1,0,0,0,0,1,0
210,Miles Davis: Birth of the Cool,2019,18+,7.4,78,1,0,0,115,0,0,0,0,0,0,0,0,0,0,1,0
211,Insidious,2010,13+,6.8,78,1,0,0,103,0,0,0,0,0,0,0,1,0,0,1,0
212,Screwball,2019,18+,7.1,78,1,0,0,105,0,0,0,0,0,0,0,0,0,0,1,0
213,The Old Guard,2020,18+,6.7,78,1,0,0,125,0,0,0,1,0,1,0,1,0,0,1,1
214,Rango,2011,7+,7.2,78,1,0,0,107,0,0,0,0,1,1,0,0,1,0,1,0
215,Before I Wake,2016,13+,6.2,78,1,0,0,97,0,1,0,0,0,0,0,1,0,0,1,0
216,The Disaster Artist,2017,18+,7.4,78,1,0,0,104,0,1,0,0,1,0,0,0,0,0,1,0
217,Fruitvale Station,2013,18+,7.5,77,1,0,0,85,1,1,1,0,0,0,0,0,0,0,1,1
218,The Florida Project,2017,18+,7.6,77,1,0,0,111,0,1,0,0,0,0,0,0,0,0,1,1
219,Behind the Curve,2018,16+,6.5,77,1,0,0,96,0,0,0,0,0,0,0,0,0,0,1,0
220,Lawless,2012,18+,7.3,77,1,0,0,116,1,1,0,0,0,0,0,0,0,0,1,0
221,Errementari: The Blacksmith and the Devil,2018,18+,6.4,77,1,0,0,98,0,0,0,0,0,0,0,0,0,0,0,1
222,Audrie & Daisy,2016,18+,7.2,77,1,0,0,95,1,0,0,0,0,0,0,0,0,0,1,0
223,Quantum of Solace,2008,13+,6.6,77,1,0,0,106,0,0,0,1,0,1,0,1,0,0,1,1
224,The Master,2012,18+,7.2,77,1,0,0,138,0,1,0,0,0,0,0,0,0,0,1,1
225,Layer Cake,2004,18+,7.3,77,1,0,0,105,1,1,0,1,0,0,0,1,0,0,1,1
226,Flipped,2010,7+,7.7,77,1,0,0,90,0,1,1,0,1,0,0,0,0,0,1,0
227,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16+,7.1,77,1,0,0,74,0,0,0,0,1,0,0,0,0,0,1,0
228,Friends with Benefits,2011,18+,6.5,77,1,0,0,109,0,0,1,0,1,0,0,0,0,0,1,0
229,Tig,2015,18+,7.4,77,1,0,0,95,0,0,0,0,0,0,0,0,0,0,1,0
230,Roll Red Roll,2019,18+,7.1,77,1,0,0,80,1,0,0,0,0,0,0,0,0,0,1,0
231,Enola Holmes,2020,13+,6.6,77,1,0,0,123,1,1,0,1,0,1,0,0,0,0,1,0
232,PK,2015,13+,8.1,77,1,0,0,153,0,1,0,0,1,0,1,0,0,1,0,0
233,Good Time,2017,18+,7.4,77,1,0,0,102,1,1,0,0,0,0,0,1,0,0,1,0
234,The Next Three Days,2010,13+,7.3,77,1,0,0,133,1,1,1,1,0,0,0,1,0,0,1,0
235,Miracle in Cell No. 7,2019,16+,8.2,77,1,0,0,132,0,1,0,0,0,0,0,0,0,0,0,1
236,Like Stars on Earth,2007,7+,8.4,77,1,0,0,165,0,1,0,0,0,0,0,0,0,1,0,0
237,Trixie Mattel: Moving Parts,2019,18+,7.3,77,1,0,0,91,0,0,0,0,0,0,0,0,0,0,1,0
238,Talaash,2012,18+,7.2,77,1,0,0,140,1,1,0,0,0,0,0,1,0,1,1,1
239,Evelyn,2019,18+,7.1,77,1,0,0,94,0,1,0,0,0,0,0,0,0,0,1,0
240,I Am Sam,2001,13+,7.6,77,1,0,0,132,0,1,0,0,0,0,0,0,0,0,1,0
241,In the Shadow of the Moon,2019,18+,6.2,77,1,0,0,115,1,0,0,0,0,0,1,1,0,0,1,0
242,Neon Genesis Evangelion: The End of Evangelion,1997,18+,8.1,77,1,0,0,87,0,1,0,1,0,0,1,0,1,0,0,1
243,Memoirs of a Geisha,2005,13+,7.3,76,1,0,0,145,0,1,1,0,0,0,0,0,0,0,1,1
244,Mad Max,1979,18+,6.9,76,1,0,0,88,0,0,0,1,0,1,1,1,0,0,1,0
245,John Leguizamo's Latin History for Morons,2018,7+,7.5,76,1,0,0,95,0,0,0,0,1,0,0,0,0,0,1,0
246,And Breathe Normally,2018,16+,6.9,76,1,0,0,95,0,1,0,0,0,0,0,0,0,0,1,1
247,The Killing of a Sacred Deer,2017,18+,7,76,1,0,0,121,0,1,0,0,0,0,0,1,0,0,1,1
248,Angels & Demons,2009,13+,6.7,76,1,0,0,138,0,0,0,1,0,0,0,1,0,0,1,1
249,Smoke & Mirrors,2016,18+,6.9,76,1,0,0,123,0,0,0,0,0,0,0,1,0,0,1,1
250,Bright,2017,18+,6.3,76,1,0,0,117,0,0,0,1,0,0,0,1,0,0,1,1
